Channel,DirectResponse,DM,TM,PledgeSustainer,WM,Email,Web,Emergency,FaceToFace,Events,DRTV,MH,PG,MG,Member,AccountID,MailDate,AppealCode,ListCode
TM,Y,user_759883_missing,Y,user_759883_missing,user_759883_missing,user_759883_missing,user_759883_missing,user_759883_missing,user_759883_missing,user_759883_missing,user_759883_missing,user_759883_missing,user_759883_missing,user_759883_missing,user_759883_missing,759883,2022-05-06,P22ET99002,user_759883_missing
DM,Y,Y,user_759883_missing,user_759883_missing,user_759883_missing,user_759883_missing,user_759883_missing,user_759883_missing,user_759883_missing,user_759883_missing,user_759883_missing,user_759883_missing,user_759883_missing,user_759883_missing,Y,759883,2022-09-30,R22M2J0361,user_759883_missing
DM,Y,Y,user_759883_missing,user_759883_missing,user_759883_missing,user_759883_missing,user_759883_missing,user_759883_missing,user_759883_missing,user_759883_missing,user_759883_missing,user_759883_missing,user_759883_missing,user_759883_missing,Y,759883,2022-08-26,R22M2H0261,user_759883_missing
DM,Y,Y,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,762023,2022-12-09,D22ZYEB003,user_762023_missing
DM,Y,Y,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,762023,2021-07-31,D21GINSID5,user_762023_missing
TM,Y,user_762023_missing,Y,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,762023,2024-01-06,W24ALPWG04,user_762023_missing
TM,Y,user_762023_missing,Y,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,user_762023_missing,762023,2023-10-06,W23KLPWG04,user_762023_missing
TM,Y,user_773796_missing,Y,user_773796_missing,user_773796_missing,user_773796_missing,user_773796_missing,user_773796_missing,user_773796_missing,user_773796_missing,user_773796_missing,user_773796_missing,user_773796_missing,user_773796_missing,user_773796_missing,773796,2021-03-02,U21CCARE17,user_773796_missing
DM,Y,Y,user_773796_missing,user_773796_missing,user_773796_missing,user_773796_missing,user_773796_missing,user_773796_missing,user_773796_missing,user_773796_missing,user_773796_missing,user_773796_missing,user_773796_missing,user_773796_missing,Y,773796,2022-03-25,R22G2C0266,user_773796_missing
DM,Y,Y,user_773866_missing,user_773866_missing,user_773866_missing,user_773866_missing,user_773866_missing,user_773866_missing,user_773866_missing,user_773866_missing,user_773866_missing,user_773866_missing,user_773866_missing,user_773866_missing,user_773866_missing,773866,2022-05-13,D22EELS004,user_773866_missing
